attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,label
16,79,1747449,31964,5234,852,5904,4609,3,70,84555,0
14,0,91971,6870,1313,299,6485,3575,2,54,48382,0
14,44,91971,6870,1313,299,6485,3575,53700,54,48382,0
1,0,2153784,172589,17462,4235,23278,55337,3,50,356743,0
10,0,1035711,148529,20708,1766,39849,25778,2,57,116735,0
10,86,1035711,148529,20708,1766,39849,25778,53700,57,116735,0
10,81,1035711,148529,20708,1766,39849,25778,3,57,116735,0
1,0,541493,14634,1767,272,9280,2247,1,60,37553,0
1,50,541493,14634,1767,272,9280,2247,10900,60,37553,0
10,0,884520,102511,10144,548,9494,4875,3,69,152988,0
21,0,903075,42637,6174,1095,13718,3446,1,81,33276,0
21,86,903075,42637,6174,1095,13718,3446,83800,81,33276,0
21,87,903075,42637,6174,1095,13718,3446,3,81,33276,0
21,75,903075,42637,6174,1095,13718,3446,1,81,33276,0
29,0,67374,24607,13856,1070,13753,4752,83800,60,59751,0
29,0,67374,24607,13856,1070,13753,4752,3,60,59751,0
29,0,67374,24607,13856,1070,13753,4752,4,60,59751,0
34,0,992542,52066,2963,378,4212,7243,47000,70,16015,0
34,72,992542,52066,2963,378,4212,7243,3,70,16015,0
40,0,1324767,67299,12535,2656,13736,7723,5,75,20338,0
40,0,1179126,63781,13019,7257,103107,48519,65800,94,272729,0
40,87,1179126,63781,13019,7257,103107,48519,3,94,272729,0
26,0,792232,8369,2007,153,2923,1635,3,66,7507,0
26,93,792232,8369,2007,153,2923,1635,94500,66,7507,0
26,87,792232,8369,2007,153,2923,1635,3,66,7507,0
40,0,224915,35027,3428,958,8830,8916,6,80,93690,0
40,61,224915,35027,3428,958,8830,8916,87000,80,93690,0
37,0,578672,162296,45153,5301,52358,44947,2,70,338747,0
37,71,578672,162296,45153,5301,52358,44947,6,70,338747,0
37,87,578672,162296,45153,5301,52358,44947,87000,70,338747,0
37,0,578672,162296,45153,5301,52358,44947,2,70,338747,0
37,0,578672,162296,45153,5301,52358,44947,6,70,338747,0
34,0,1563381,230008,44099,3882,66870,53545,87000,60,343911,0
17,0,2360817,265642,14076,3195,31982,83004,2,67,180901,0
38,0,1760109,57920,17063,4178,62238,15525,2,80,64967,0
38,84,1760109,57920,17063,4178,62238,15525,44500,80,64967,0
38,63,1760109,57920,17063,4178,62238,15525,3,80,64967,0
35,0,836418,26858,17558,2022,74014,42114,2,78,192815,0
34,0,143987,57787,9212,708,6116,15192,44500,75,96682,0
34,40,143987,57787,9212,708,6116,15192,3,75,96682,0
10,0,40824,11057,1332,122,5270,3087,1,66,17044,0
10,97,40824,11057,1332,122,5270,3087,73100,66,17044,0
10,65,40824,11057,1332,122,5270,3087,3,66,17044,0
10,90,40824,11057,1332,122,5270,3087,1,66,17044,0
23,0,901377,134810,97157,7206,60173,43715,73100,61,418086,0
23,0,901377,134810,97157,7206,60173,43715,3,61,418086,0
23,0,901377,134810,97157,7206,60173,43715,4,61,418086,0
23,87,901377,134810,97157,7206,60173,43715,26000,61,418086,0
41,0,523074,31831,12030,1467,10896,42207,2,54,191516,0
26,0,1061467,236988,23437,4236,96522,16172,5,75,118547,0
40,0,63326,4442,2130,190,2862,3696,83800,67,27365,0
40,84,63326,4442,2130,190,2862,3696,3,67,27365,0
26,0,1211616,15712,1422,231,5145,2200,5,64,12713,0
24,0,1479941,39370,6068,1775,11212,14316,83800,74,96299,0
35,0,858402,32480,10683,1900,33554,10627,3,69,27218,0
35,88,858402,32480,10683,1900,33554,10627,5,69,27218,0
37,0,1134026,44870,5183,426,21985,6590,83800,94,14737,0
38,0,474942,10395,1528,165,4227,662,3,91,15584,0
38,89,474942,10395,1528,165,4227,662,1,91,15584,0
51,0,878927,49787,8609,3078,12612,8687,78800,100,31930,0
51,0,878927,49787,8609,3078,12612,8687,3,100,31930,0
51,0,878927,49787,8609,3078,12612,8687,1,100,31930,0
43,0,78005,4142,2044,170,4938,2134,92700,87,21225,0
37,0,20095,3572,1599,87,10552,644,3,70,22932,0
37,94,20095,3572,1599,87,10552,644,1,70,22932,0
37,44,20095,3572,1599,87,10552,644,92700,70,22932,0
16,0,738069,42038,4760,572,17883,21048,3,56,21694,0
8,0,1438360,31628,9390,1778,4079,13849,3,48,210958,0
8,76,1438360,31628,9390,1778,4079,13849,14200,48,210958,0
8,100,1438360,31628,9390,1778,4079,13849,3,48,210958,0
8,0,383286,24542,4273,2291,7632,7062,6,44,74530,0
8,100,383286,24542,4273,2291,7632,7062,29700,44,74530,0
8,60,383286,24542,4273,2291,7632,7062,3,44,74530,0
40,0,1094515,37487,24524,1737,15513,18777,2,57,69420,0
48,0,150349,6734,1336,292,505,2053,42500,67,13185,0
56,0,289001,47633,5866,740,4299,12226,3,77,36144,0
56,0,289001,47633,5866,740,4299,12226,2,77,36144,0
56,0,289001,47633,5866,740,4299,12226,42500,77,36144,0
56,93,289001,47633,5866,740,4299,12226,3,77,36144,0
56,84,289001,47633,5866,740,4299,12226,2,77,36144,0
41,0,743440,32448,4405,735,2312,17967,42500,75,46197,0
43,0,688308,68660,13330,3978,21705,19115,3,80,90424,0
43,86,688308,68660,13330,3978,21705,19115,2,80,90424,0
44,0,332272,30317,6694,1320,10712,20419,42500,75,53296,0
40,0,538193,12041,3518,522,49934,1635,3,83,6289,0
51,0,954240,19374,9505,728,1166,3588,2,77,52306,0
51,96,954240,19374,9505,728,1166,3588,75600,77,52306,0
48,0,308044,6970,2015,382,1920,1575,3,66,22889,0
50,0,56890,6479,1329,333,5540,1840,1,74,3445,0
70,0,735607,90665,39308,10197,16189,14704,34700,57,65369,0
70,92,735607,90665,39308,10197,16189,14704,3,57,65369,0
70,0,735607,90665,39308,10197,16189,14704,1,57,65369,0
70,0,735607,90665,39308,10197,16189,14704,34700,57,65369,0
87,0,715953,137963,32153,6611,43106,30685,3,75,59664,0
81,0,557712,231430,29246,6386,84306,5585,5,75,177539,0
81,82,557712,231430,29246,6386,84306,5585,18000,75,177539,0
63,0,231293,27570,9753,1573,60769,12229,2,75,61823,0
40,0,1056596,30861,15403,1500,140035,28949,2,70,257509,0
40,83,1056596,30861,15403,1500,140035,28949,7100,70,257509,0
40,73,1056596,30861,15403,1500,140035,28949,3,70,257509,0
38,0,412214,8100,5348,644,22071,5226,2,57,77538,0
44,0,94303,43266,7464,1440,10204,9400,7100,63,13230,0
35,0,720359,77553,14331,7318,39504,13973,3,61,110059,0
35,103,720359,77553,14331,7318,39504,13973,1,61,110059,0
53,0,625551,6634,15085,3250,16498,28457,14200,51,90866,0
63,0,45858,6801,3034,815,6391,3249,3,54,17388,0
63,48,45858,6801,3034,815,6391,3249,1,54,17388,0
63,0,45858,6801,3034,815,6391,3249,14200,54,17388,0
63,0,45858,6801,3034,815,6391,3249,3,54,17388,0
48,0,1968270,138599,21331,4156,129995,28710,1,48,268152,0
60,0,1418068,90988,114365,19365,86740,81603,14200,37,602225,0
60,47,1418068,90988,114365,19365,86740,81603,3,37,602225,0
60,70,1418068,90988,114365,19365,86740,81603,3,37,602225,0
69,0,372090,1657,2468,790,2041,3175,24100,43,10649,0
69,89,372090,1657,2468,790,2041,3175,4,43,10649,0
60,0,224135,13620,6441,1447,59435,15406,2,34,222173,0
53,0,592050,18322,9154,1868,15181,6065,6400,41,65818,0
53,86,592050,18322,9154,1868,15181,6065,3,41,65818,0
53,33,592050,18322,9154,1868,15181,6065,2,41,65818,0
16,0,549522,43895,9762,1630,18434,51242,6400,23,160281,0
27,0,1328509,334273,40048,3813,83681,52747,3,30,399748,0
21,0,836289,217873,30635,1961,76920,41827,1,38,261366,0
21,0,836289,217873,30635,1961,76920,41827,99570,38,261366,0
21,0,836289,217873,30635,1961,76920,41827,4,38,261366,0
34,0,1059778,15071,6202,542,18635,9869,3,56,28315,0
37,0,558699,9240,6537,444,2440,3747,31700,47,108159,0
38,0,203467,16550,3856,1083,18144,4132,3,47,42076,0
38,39,203467,16550,3856,1083,18144,4132,3,47,42076,0
34,0,534089,61907,4057,814,12897,8561,31700,51,32571,0
30,0,31203,6564,4753,1282,10247,4672,3,44,36885,0
30,89,31203,6564,4753,1282,10247,4672,3,44,36885,0
41,0,812758,37254,17855,1597,38661,30680,31700,60,99799,0
26,0,734902,114434,12618,4760,34922,23605,3,51,462619,0
23,0,973911,21508,5117,1077,3710,17610,3,30,150854,0
23,93,973911,21508,5117,1077,3710,17610,31700,30,150854,0
21,0,2189882,59603,39179,5885,64133,99259,3,27,345896,0
29,0,1054471,41606,62848,2653,13616,14885,1,16,316775,0
29,0,1054471,41606,62848,2653,13616,14885,5980,16,316775,0
29,0,1054471,41606,62848,2653,13616,14885,4,16,316775,0
38,0,882448,35981,5234,4636,26319,20773,1,23,78918,0
38,106,882448,35981,5234,4636,26319,20773,5980,23,78918,0
38,41,882448,35981,5234,4636,26319,20773,4,23,78918,0
38,0,468725,78351,7186,2685,19958,9899,1,35,156864,0
23,0,364804,18649,4651,329,15431,10852,47720,34,152027,0
23,88,364804,18649,4651,329,15431,10852,4,34,152027,0
23,138,364804,18649,4651,329,15431,10852,2,34,152027,0
44,0,545438,78945,38743,3843,17840,18007,26200,35,339353,0
44,102,545438,78945,38743,3843,17840,18007,3,35,339353,0
80,0,406854,20989,35512,817,42817,17660,1,44,37125,0
67,0,784291,35528,7495,559,5692,11132,26800,53,25695,0
67,48,784291,35528,7495,559,5692,11132,3,53,25695,0
64,0,114861,7244,1314,321,6526,1994,1,70,5889,0
64,63,114861,7244,1314,321,6526,1994,26800,70,5889,0
64,84,114861,7244,1314,321,6526,1994,3,70,5889,0
64,0,114861,7244,1314,321,6526,1994,1,70,5889,0
64,0,114861,7244,1314,321,6526,1994,26800,70,5889,0
29,0,1066921,140112,11703,5113,19044,23266,3,67,252712,0
23,0,61851,13671,1484,292,2923,3623,3,63,41054,0
23,64,61851,13671,1484,292,2923,3623,20700,63,41054,0
23,89,61851,13671,1484,292,2923,3623,3,63,41054,0
8,0,1466451,117664,27549,15800,93020,28110,6,53,569034,0
4,0,2767377,95419,16904,2495,26577,44500,51000,40,233846,0
26,0,630772,44620,22909,2542,61269,25107,2,44,65440,0
26,97,630772,44620,22909,2542,61269,25107,1,44,65440,0
34,0,198104,6549,1501,228,3663,2423,31220,43,25968,0
43,0,525211,36934,5284,766,14503,19655,4,53,27370,0
37,0,1121192,92456,33838,6975,159960,59690,1,51,732171,0
37,66,1121192,92456,33838,6975,159960,59690,31220,51,732171,0
10,0,1030750,436243,22862,3988,37755,91067,4,48,679606,0
14,0,533701,16399,3270,351,6405,1159,1,54,27554,0
14,0,533701,16399,3270,351,6405,1159,31220,54,27554,0
14,0,533701,16399,3270,351,6405,1159,4,54,27554,0
14,62,533701,16399,3270,351,6405,1159,1,54,27554,0
14,41,533701,16399,3270,351,6405,1159,93000,54,27554,0
10,0,792520,47025,7700,825,44947,1939,2,54,81874,0
10,0,187848,23731,3033,1219,14124,6863,3,48,115592,0
10,101,187848,23731,3033,1219,14124,6863,25200,48,115592,0
7,0,584353,240421,36294,23283,149844,134716,3,48,322984,0
10,0,758912,63529,6822,596,3661,12084,3,56,84787,0
4,0,915614,76705,14473,1945,143178,49987,25200,53,227810,0
4,76,915614,76705,14473,1945,143178,49987,3,53,227810,0
34,0,961358,108286,49012,3006,46515,63319,3,57,178657,0
34,77,961358,108286,49012,3006,46515,63319,25200,57,178657,0
27,0,890435,55373,44636,3822,125758,30164,3,44,973578,0
38,0,38065,6773,1312,102,3060,1690,3,48,5166,0
38,123,38065,6773,1312,102,3060,1690,25200,48,5166,0
69,0,1604737,153207,271984,51858,279266,174270,3,43,524785,0
69,0,1604737,153207,271984,51858,279266,174270,3,43,524785,0
69,0,1604737,153207,271984,51858,279266,174270,25200,43,524785,0
69,0,460685,8161,19667,25357,23475,17961,3,43,96714,0
50,0,90694,36385,3168,624,18551,3249,6,51,36949,0
69,0,111031,4462,6349,1280,5326,9232,50000,53,33372,0
64,0,2199712,10917,9397,2600,7979,4345,8876,17,89046,0
54,0,1634495,42928,6831,2223,36843,9751,2143,26,68076,0
54,96,1634495,42928,6831,2223,36843,9751,2143,26,68076,0
67,0,260261,9766,3960,828,6686,7012,2927,29,19979,0
67,158,260261,9766,3960,828,6686,7012,2927,29,19979,0
57,0,1920491,25243,11683,7104,79000,48423,6371,29,117928,0
57,39,1920491,25243,11683,7104,79000,48423,6371,29,117928,0
51,0,1267100,85176,31513,14157,109482,48793,50470,35,492971,0
51,113,1267100,85176,31513,14157,109482,48793,50470,35,492971,0
44,0,2503696,529157,84566,59430,85790,172999,41399,21,2756188,0
30,0,69448,10812,1334,776,2250,3708,1002,21,18096,0
30,0,69448,10812,1334,776,2250,3708,1002,21,18096,0
30,0,69448,10812,1334,776,2250,3708,1002,21,18096,0
37,0,158058,1915,1838,1168,3803,7780,2529,11,20309,0
37,122,158058,1915,1838,1168,3803,7780,2529,11,20309,0
37,115,158058,1915,1838,1168,3803,7780,2529,11,20309,0
40,0,1543344,14096,19238,6370,201073,7591,16125,29,67938,0
40,0,168295,4711,1846,518,2501,1211,1126,23,62700,0
48,0,1368665,160809,32752,4427,23569,38243,38308,24,221126,0
48,98,1368665,160809,32752,4427,23569,38243,38308,24,221126,0
48,107,1368665,160809,32752,4427,23569,38243,38308,24,221126,0
43,0,905507,119011,64606,21172,4569,42015,58080,11,522732,0
43,121,905507,119011,64606,21172,4569,42015,58080,11,522732,0
47,0,396789,131212,8956,2497,78714,6556,5731,40,51178,0
44,0,3005712,65581,26105,24940,153616,31138,20907,43,156885,0
44,155,3005712,65581,26105,24940,153616,31138,20907,43,156885,0
35,0,890588,232319,12754,9082,33284,23746,5027,74,45408,0
35,133,890588,232319,12754,9082,33284,23746,5027,74,45408,0
35,0,890588,232319,12754,9082,33284,23746,5027,74,45408,0
35,0,890588,232319,12754,9082,33284,23746,5027,74,45408,0
38,0,283777,2499,1992,317,3091,6732,1388,44,38344,0
26,0,681403,35557,19368,6112,74917,51958,11803,29,643890,0
26,121,681403,35557,19368,6112,74917,51958,11803,29,643890,0
26,104,681403,35557,19368,6112,74917,51958,11803,29,643890,0
35,0,1514867,66968,10636,12139,25320,12170,5050,29,79603,0
40,0,906520,131935,28987,2627,25733,43567,4977,11,290205,0
48,0,1095181,112533,31591,5280,91192,40958,6457,27,181158,0
48,70,1095181,112533,31591,5280,91192,40958,6457,27,181158,0
48,97,1095181,112533,31591,5280,91192,40958,6457,27,181158,0
60,0,124613,6931,2199,847,657,5020,805,30,22342,0
61,0,73524,2832,2317,373,1708,662,348,14,30830,0
61,127,73524,2832,2317,373,1708,662,348,14,30830,0
61,122,73524,2832,2317,373,1708,662,348,14,30830,0
78,0,500929,3173,3251,1302,10254,6270,2577,16,11946,0
83,0,916219,21553,5822,1354,4859,6973,4319,23,28833,0
83,0,916219,21553,5822,1354,4859,6973,4319,23,28833,0
83,0,916219,21553,5822,1354,4859,6973,4319,23,28833,0
90,0,134735,8913,2633,499,4679,1797,274,40,9910,0
90,99,134735,8913,2633,499,4679,1797,274,40,9910,0
44,0,431887,56605,3506,1495,5104,7221,1203,57,60016,0
44,76,431887,56605,3506,1495,5104,7221,1203,57,60016,0
35,0,336914,63034,7114,2064,4075,3641,2682,61,82563,0
35,78,336914,63034,7114,2064,4075,3641,2682,61,82563,0
23,0,201853,25175,1619,767,654,2140,705,67,8385,0
23,78,201853,25175,1619,767,654,2140,705,67,8385,0
43,0,163442,44144,9643,1609,6998,8183,11900,51,51788,0
43,107,163442,44144,9643,1609,6998,8183,11900,51,51788,0
48,0,2188375,56125,15545,2306,27182,11134,4299,47,177841,0
51,0,1088934,86000,15993,5377,56603,39051,3594,38,123615,0
51,74,1088934,86000,15993,5377,56603,39051,3594,38,123615,0
51,85,1088934,86000,15993,5377,56603,39051,3594,38,123615,0
51,0,541652,9316,7312,1557,27610,12085,4870,29,145250,0
51,0,541652,9316,7312,1557,27610,12085,4870,29,145250,0
51,0,541652,9316,7312,1557,27610,12085,4870,29,145250,0
43,0,62202,246356,16786,4238,65010,33904,15532,40,83623,0
38,0,409163,20183,2861,2475,10216,7945,3164,44,31459,0
38,179,409163,20183,2861,2475,10216,7945,3164,44,31459,0
38,145,409163,20183,2861,2475,10216,7945,3164,44,31459,0
38,0,2094367,80355,14095,3497,70990,24313,7985,44,84089,0
38,32,2094367,80355,14095,3497,70990,24313,7985,44,84089,0
43,0,332619,6091,2077,569,4338,1353,569,41,14624,0
57,0,618104,37608,25863,2943,23240,12087,7819,44,123885,0
57,95,618104,37608,25863,2943,23240,12087,7819,44,123885,0
57,92,618104,37608,25863,2943,23240,12087,7819,44,123885,0
67,0,1775306,62403,22231,2971,26371,53946,5295,30,114914,0
70,0,90934,8832,816,266,1736,1180,281,40,3605,0
66,0,1306528,15363,8298,2104,42603,14712,3377,40,89927,0
66,100,1306528,15363,8298,2104,42603,14712,3377,40,89927,0
66,81,1306528,15363,8298,2104,42603,14712,3377,40,89927,0
29,0,175814,21712,1771,1476,9612,6231,3620,43,39487,0
29,69,175814,21712,1771,1476,9612,6231,3620,43,39487,0
29,0,175814,21712,1771,1476,9612,6231,3620,43,39487,0
29,0,175814,21712,1771,1476,9612,6231,3620,43,39487,0
29,109,175814,21712,1771,1476,9612,6231,3620,43,39487,0
21,0,82122,8151,3718,804,6394,8497,1224,17,116425,0
21,101,82122,8151,3718,804,6394,8497,1224,17,116425,0
24,0,401500,20684,4092,1014,4037,8684,1530,17,30813,0
24,115,401500,20684,4092,1014,4037,8684,1530,17,30813,0
24,87,401500,20684,4092,1014,4037,8684,1530,17,30813,0
43,0,1043847,40306,7520,1598,12118,13990,1696,34,136586,0
43,0,797563,325862,50851,3104,128119,29323,12157,43,140930,0
43,43,797563,325862,50851,3104,128119,29323,12157,43,140930,0
43,64,797563,325862,50851,3104,128119,29323,12157,43,140930,0
44,0,1996341,39537,5793,4567,2283,8651,4192,40,106602,0
34,0,684103,33186,2029,845,5162,2768,2096,38,49886,0
43,0,243909,69620,10417,957,6395,3411,4184,51,36970,0
43,161,243909,69620,10417,957,6395,3411,4184,51,36970,0
43,194,243909,69620,10417,957,6395,3411,4184,51,36970,0
43,0,573814,77094,14241,6200,2339,48403,8660,51,90410,0
43,0,573814,77094,14241,6200,2339,48403,8660,51,90410,0
43,0,573814,77094,14241,6200,2339,48403,8660,51,90410,0
29,0,1261615,62503,3835,946,41189,11474,3852,50,47248,0
29,108,1261615,62503,3835,946,41189,11474,3852,50,47248,0
29,116,1261615,62503,3835,946,41189,11474,3852,50,47248,0
41,0,956321,10192,2521,1384,17040,4203,1750,50,50459,0
35,0,13031,3805,453,84,1735,472,108,47,3511,0
40,0,31707,900,521,230,1421,945,628,27,11855,0
40,138,31707,900,521,230,1421,945,628,27,11855,0
40,99,31707,900,521,230,1421,945,628,27,11855,0
51,0,129455,75922,7149,647,2201,11696,4691,35,65881,0
51,44,129455,75922,7149,647,2201,11696,4691,35,65881,0
51,79,129455,75922,7149,647,2201,11696,4691,35,65881,0
56,0,1358602,335507,78767,8530,25125,112032,9644,26,627501,0
56,101,1358602,335507,78767,8530,25125,112032,9644,26,627501,0
63,0,255397,7044,1313,256,2093,2166,548,38,9901,0
63,72,255397,7044,1313,256,2093,2166,548,38,9901,0
53,0,1128215,82189,11869,2042,33600,20183,3008,44,67081,0
53,110,1128215,82189,11869,2042,33600,20183,3008,44,67081,0
53,0,1128215,82189,11869,2042,33600,20183,3008,44,67081,0
53,0,1128215,82189,11869,2042,33600,20183,3008,44,67081,0
63,0,1592211,26949,17874,12669,80125,7716,16147,50,43834,0
63,112,1592211,26949,17874,12669,80125,7716,16147,50,43834,0
63,78,1592211,26949,17874,12669,80125,7716,16147,50,43834,0
51,0,861249,12105,2575,1079,19200,13051,1771,48,73676,0
51,38,861249,12105,2575,1079,19200,13051,1771,48,73676,0
53,0,176655,83105,11363,1340,13352,19571,2830,54,28463,0
53,85,176655,83105,11363,1340,13352,19571,2830,54,28463,0
43,0,1476952,266939,35963,6156,101391,24635,21154,43,1045383,0
43,108,1476952,266939,35963,6156,101391,24635,21154,43,1045383,0
43,44,1476952,266939,35963,6156,101391,24635,21154,43,1045383,0
43,31,1476952,266939,35963,6156,101391,24635,21154,43,1045383,0
30,0,493170,17294,2805,539,6462,6979,1327,35,36237,0
30,34,493170,17294,2805,539,6462,6979,1327,35,36237,0
37,0,103857,21549,3231,888,6851,5240,1756,37,47144,0
37,119,103857,21549,3231,888,6851,5240,1756,37,47144,0
37,125,103857,21549,3231,888,6851,5240,1756,37,47144,0
26,0,871429,103344,10706,4513,24661,31305,6122,29,165609,0
40,0,338559,37190,14457,2082,31619,14636,2758,30,143585,0
40,44,338559,37190,14457,2082,31619,14636,2758,30,143585,0
40,35,338559,37190,14457,2082,31619,14636,2758,30,143585,0
40,111,338559,37190,14457,2082,31619,14636,2758,30,143585,0
40,89,338559,37190,14457,2082,31619,14636,2758,30,143585,0
53,0,1439605,60848,15501,1657,15795,28198,2486,34,111192,0
53,32,1439605,60848,15501,1657,15795,28198,2486,34,111192,0
53,38,1439605,60848,15501,1657,15795,28198,2486,34,111192,0
53,0,1439605,60848,15501,1657,15795,28198,2486,34,111192,0
53,0,1439605,60848,15501,1657,15795,28198,2486,34,111192,0
54,0,380277,16007,2928,1426,33918,6598,5365,43,16427,0
54,42,380277,16007,2928,1426,33918,6598,5365,43,16427,0
63,0,962314,18337,24755,1108,51675,32262,1849,43,106635,0
60,0,190736,70618,5192,1053,13897,5771,2222,54,41819,0
60,72,190736,70618,5192,1053,13897,5771,2222,54,41819,0
67,0,204883,25063,10500,3008,6779,11034,3499,37,102265,0
67,84,204883,25063,10500,3008,6779,11034,3499,37,102265,0
70,0,875945,24631,15605,1838,11472,10016,1194,37,49109,0
56,0,490978,37661,1589,586,2464,12463,1969,47,7558,0
56,94,490978,37661,1589,586,2464,12463,1969,47,7558,0
56,94,490978,37661,1589,586,2464,12463,1969,47,7558,0
69,0,676235,18307,12168,4112,230,7791,2921,27,74706,0
66,0,158015,25665,7907,1361,21410,6774,4581,30,99141,0
54,0,254786,70685,23048,5177,79617,15896,11230,37,180911,0
54,94,254786,70685,23048,5177,79617,15896,11230,37,180911,0
54,85,254786,70685,23048,5177,79617,15896,11230,37,180911,0
54,0,254786,70685,23048,5177,79617,15896,11230,37,180911,0
54,0,254786,70685,23048,5177,79617,15896,11230,37,180911,0
60,0,401384,15093,3285,503,931,5788,1824,21,37523,0
54,0,450642,12623,5997,1140,12399,12952,2889,27,41393,0
38,0,1741171,248548,11313,4807,20986,55563,12487,27,556798,0
38,85,1741171,248548,11313,4807,20986,55563,12487,27,556798,0
38,87,1741171,248548,11313,4807,20986,55563,12487,27,556798,0
43,0,1430682,114123,51049,3925,61716,31702,11534,24,309749,0
54,0,772351,8049,6865,1896,1592,18770,2888,16,39268,0
54,98,772351,8049,6865,1896,1592,18770,2888,16,39268,0
54,73,772351,8049,6865,1896,1592,18770,2888,16,39268,0
74,0,1905951,157176,40527,5713,175473,59134,14364,21,1530281,0
48,0,85106,46725,2711,783,20084,8429,4896,21,141576,0
30,0,177297,18419,1720,260,1798,3899,1257,30,32139,0
30,87,177297,18419,1720,260,1798,3899,1257,30,32139,0
30,80,177297,18419,1720,260,1798,3899,1257,30,32139,0
21,0,1404267,155443,34479,5993,63017,83333,3433,29,61462,0
21,0,1404267,155443,34479,5993,63017,83333,3433,29,61462,0
21,0,1404267,155443,34479,5993,63017,83333,3433,29,61462,0
21,88,1404267,155443,34479,5993,63017,83333,3433,29,61462,0
54,0,1428072,13154,13786,5053,20244,13817,3746,27,143316,0
54,103,1428072,13154,13786,5053,20244,13817,3746,27,143316,0
64,0,1650260,27932,5409,2188,17448,7895,3084,38,16848,0
61,0,769215,20154,6689,1229,11934,7579,3553,29,48362,0
61,80,769215,20154,6689,1229,11934,7579,3553,29,48362,0
69,0,1701167,142691,58343,14424,178983,37774,24924,38,206889,0
69,98,1701167,142691,58343,14424,178983,37774,24924,38,206889,0
64,0,404211,10669,2565,532,7004,3591,2100,47,28609,0
67,0,1048463,40213,14315,944,40960,5120,7752,43,48257,0
67,109,1048463,40213,14315,944,40960,5120,7752,43,48257,0
70,0,881482,26069,40407,7033,50447,22984,19447,38,261923,0
70,37,881482,26069,40407,7033,50447,22984,19447,38,261923,0
48,0,3021390,382534,20551,8627,167634,18953,12753,44,132104,0
48,109,3021390,382534,20551,8627,167634,18953,12753,44,132104,0
48,0,3021390,382534,20551,8627,167634,18953,12753,44,132104,0
48,0,3021390,382534,20551,8627,167634,18953,12753,44,132104,0
48,129,3021390,382534,20551,8627,167634,18953,12753,44,132104,0
43,0,567616,73728,65444,22513,171992,103434,15972,35,625219,0
41,0,1292585,164220,35646,5092,66990,27714,17453,48,136874,0
41,57,1292585,164220,35646,5092,66990,27714,17453,48,136874,0
41,180,1292585,164220,35646,5092,66990,27714,17453,48,136874,0
41,117,1292585,164220,35646,5092,66990,27714,17453,48,136874,0
60,0,1338726,34658,16847,4904,5540,12834,9251,23,218544,0
60,62,1338726,34658,16847,4904,5540,12834,9251,23,218544,0
51,0,787892,86538,4212,3156,4039,25212,1156,37,30550,0
51,79,787892,86538,4212,3156,4039,25212,1156,37,30550,0
47,0,195627,6125,2903,500,8906,2046,182,26,35940,0
47,65,195627,6125,2903,500,8906,2046,182,26,35940,0
47,60,195627,6125,2903,500,8906,2046,182,26,35940,0
30,0,338822,79104,3828,604,3103,6830,1991,43,32584,0
30,103,338822,79104,3828,604,3103,6830,1991,43,32584,0
37,0,836168,53558,8899,1133,28364,19489,2888,38,76152,0
37,159,836168,53558,8899,1133,28364,19489,2888,38,76152,0
29,0,1216532,72944,11392,1666,20252,5395,4520,38,244932,0
29,0,1216532,72944,11392,1666,20252,5395,4520,38,244932,0
29,0,1216532,72944,11392,1666,20252,5395,4520,38,244932,0
38,0,257633,50455,6434,728,2862,5783,1390,51,39337,0
38,162,257633,50455,6434,728,2862,5783,1390,51,39337,0
54,0,922147,11788,3311,1357,20134,3782,1307,29,63280,0
47,0,246126,86169,11054,5646,62429,30879,8768,27,200199,0
47,100,246126,86169,11054,5646,62429,30879,8768,27,200199,0
44,0,1015484,55875,9660,4014,39685,5177,6017,27,232197,0
44,0,460507,13014,1446,350,3470,3593,871,27,26759,0
44,0,897226,151882,24493,7905,27819,51021,14976,24,125171,0
44,156,897226,151882,24493,7905,27819,51021,14976,24,125171,0
48,0,1750275,143868,103618,11266,207241,113822,17098,38,251154,0
56,0,81121,28537,6695,1255,6811,867,5368,34,81154,0
60,0,408389,5174,6596,525,4360,5415,4995,20,141610,0
60,81,408389,5174,6596,525,4360,5415,4995,20,141610,0
60,108,408389,5174,6596,525,4360,5415,4995,20,141610,0
60,0,408389,5174,6596,525,4360,5415,4995,20,141610,0
60,0,408389,5174,6596,525,4360,5415,4995,20,141610,0
63,0,891794,65496,15036,2985,11351,7460,4457,17,102958,0
63,76,891794,65496,15036,2985,11351,7460,4457,17,102958,0
47,0,91090,37509,14686,3701,24075,17457,4461,8,267715,0
47,88,91090,37509,14686,3701,24075,17457,4461,8,267715,0
53,0,582576,120907,66670,5950,176158,39280,9161,13,372643,0
53,213,582576,120907,66670,5950,176158,39280,9161,13,372643,0
53,177,582576,120907,66670,5950,176158,39280,9161,13,372643,0
53,0,403043,76487,7584,1478,14105,3027,4859,34,114141,0
53,0,684359,83170,158678,4092,65605,94945,39172,34,52365,0
53,0,1255771,44707,22616,5193,12347,14644,3911,34,72952,0
53,0,947833,330534,19360,11774,124157,40379,6964,34,947639,0
53,0,1455236,55139,7223,1230,49608,12360,3728,51,73626,0
53,0,1455236,55139,7223,1230,49608,12360,3728,51,73626,0
53,0,1455236,55139,7223,1230,49608,12360,3728,51,73626,0
