attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,label
53,0,563504,48669,16027,4880,15917,9229,7865,34,257874,0
53,0,563504,48669,16027,4880,15917,9229,7865,34,257874,0
74,0,336416,21611,14498,2472,40466,18809,12923,40,18620,0
74,83,336416,21611,14498,2472,40466,18809,12923,40,18620,0
74,87,336416,21611,14498,2472,40466,18809,12923,40,18620,0
50,0,987955,19605,5422,2450,29509,13529,5339,47,71065,0
50,0,877197,12857,25408,8823,23514,20744,3772,53,127482,0
77,0,310294,30919,69383,8307,51416,30759,9560,60,41296,0
77,85,310294,30919,69383,8307,51416,30759,9560,60,41296,0
77,85,310294,30919,69383,8307,51416,30759,9560,60,41296,0
56,0,1426002,51163,28143,8538,134393,47934,7153,48,530048,0
61,0,555114,26941,12663,4658,57936,9790,3231,48,105883,0
61,81,555114,26941,12663,4658,57936,9790,3231,48,105883,0
54,0,215876,27079,23070,7181,49891,12739,7860,53,179912,0
54,78,215876,27079,23070,7181,49891,12739,7860,53,179912,0
43,0,123475,42747,26195,4334,18872,21880,9200,54,46037,0
43,0,474509,14034,7957,5957,36268,23671,9900,54,154511,0
64,0,897702,24080,71664,7154,96993,29500,4072,54,67486,0
64,80,897702,24080,71664,7154,96993,29500,4072,54,67486,0
64,0,897702,24080,71664,7154,96993,29500,4072,54,67486,0
64,0,897702,24080,71664,7154,96993,29500,4072,54,67486,0
63,0,691118,3926,4819,1411,19110,4414,901,57,36116,0
53,0,572971,20072,8269,6171,27542,29685,9447,56,49973,0
53,67,572971,20072,8269,6171,27542,29685,9447,56,49973,0
67,0,71798,3868,4693,375,10456,3917,658,60,20598,0
67,83,71798,3868,4693,375,10456,3917,658,60,20598,0
41,0,1142696,20841,18423,3311,25846,16797,10688,44,388252,0
41,0,468075,23112,16345,6347,14133,27672,5332,38,147661,0
41,91,468075,23112,16345,6347,14133,27672,5332,38,147661,0
41,86,468075,23112,16345,6347,14133,27672,5332,38,147661,0
23,0,963621,34577,10893,4028,23652,5670,10485,27,79733,0
40,0,651213,16464,24688,6114,34714,18636,2222,38,82631,0
40,83,651213,16464,24688,6114,34714,18636,2222,38,82631,0
40,94,651213,16464,24688,6114,34714,18636,2222,38,82631,0
50,0,434965,30054,88982,11013,103092,96942,6236,40,321042,0
61,0,1278196,47558,18746,5976,24473,54077,12375,50,133059,0
61,0,1278196,47558,18746,5976,24473,54077,12375,50,133059,0
61,0,1278196,47558,18746,5976,24473,54077,12375,50,133059,0
47,0,409273,56364,12932,4922,59437,35692,8678,40,461221,0
47,80,409273,56364,12932,4922,59437,35692,8678,40,461221,0
47,83,409273,56364,12932,4922,59437,35692,8678,40,461221,0
34,0,178229,5356,3771,993,5565,8071,1189,34,53543,0
26,0,330790,6227,9646,7617,33046,17306,5786,38,50711,0
26,95,330790,6227,9646,7617,33046,17306,5786,38,50711,0
27,0,168368,29579,26055,7455,47280,34572,7173,38,153247,0
47,0,909536,25420,14595,993,52542,18635,2430,47,84751,0
54,0,133446,2193,4320,1991,1660,7148,3479,41,36552,0
54,75,133446,2193,4320,1991,1660,7148,3479,41,36552,0
56,0,179202,19242,16731,615,8177,7670,1425,35,96270,0
56,91,179202,19242,16731,615,8177,7670,1425,35,96270,0
57,0,1624887,63073,33114,10537,41141,14936,13520,37,183597,0
60,0,173060,24990,22234,3316,23725,25266,10490,27,153249,0
60,0,762959,145174,48085,5769,37493,37351,12520,44,195849,0
60,87,762959,145174,48085,5769,37493,37351,12520,44,195849,0
60,0,762959,145174,48085,5769,37493,37351,12520,44,195849,0
60,0,762959,145174,48085,5769,37493,37351,12520,44,195849,0
47,0,622519,3975,7052,2533,56691,15242,4425,57,82576,0
47,83,622519,3975,7052,2533,56691,15242,4425,57,82576,0
47,91,622519,3975,7052,2533,56691,15242,4425,57,82576,0
47,0,1000370,126360,36216,10234,89734,108953,16978,67,140862,0
48,0,506736,10811,12610,3137,13910,10766,5364,61,69002,0
41,0,1751637,23904,11202,3971,6009,11654,5022,48,126926,0
41,74,1751637,23904,11202,3971,6009,11654,5022,48,126926,0
41,97,1751637,23904,11202,3971,6009,11654,5022,48,126926,0
35,0,1446322,80684,39357,8620,83785,34036,6562,35,1345123,0
29,0,638052,13877,8350,2325,34920,22490,4342,29,75863,0
26,0,101269,69965,21597,7106,44444,40122,7452,40,79669,0
26,85,101269,69965,21597,7106,44444,40122,7452,40,79669,0
23,0,1091225,15081,15195,4290,6835,9741,3673,29,289822,0
43,0,865109,34864,9570,5525,4353,14536,7084,44,32375,0
43,85,865109,34864,9570,5525,4353,14536,7084,44,32375,0
43,0,865109,34864,9570,5525,4353,14536,7084,44,32375,0
43,0,865109,34864,9570,5525,4353,14536,7084,44,32375,0
43,85,865109,34864,9570,5525,4353,14536,7084,44,32375,0
47,0,736415,50027,31593,2899,139337,93385,5297,48,153255,0
66,0,491088,15760,25125,5083,26721,49260,9339,60,62600,0
66,78,491088,15760,25125,5083,26721,49260,9339,60,62600,0
70,0,231929,114147,67563,11216,69726,76836,7909,57,193406,0
70,82,231929,114147,67563,11216,69726,76836,7909,57,193406,0
60,0,185562,3248,755,182,3714,2103,473,57,8371,0
64,0,1711856,57836,24054,8149,33403,19093,13105,61,63186,0
64,80,1711856,57836,24054,8149,33403,19093,13105,61,63186,0
54,0,1263659,49462,41339,20974,887,38857,11148,53,343766,0
54,83,1263659,49462,41339,20974,887,38857,11148,53,343766,0
